Date,Clicks,Impressions,CTR,Position
2026-04-27,0,0,,
2026-04-28,0,1,0%,5
2026-04-29,0,4,0%,18.5
2026-04-30,0,15,0%,64.5
2026-05-01,0,29,0%,34
2026-05-02,0,52,0%,30.1
2026-05-03,0,37,0%,25
2026-05-04,1,35,2.86%,26
2026-05-05,0,36,0%,27.9
2026-05-06,0,35,0%,39.1
2026-05-07,0,45,0%,26.6
2026-05-08,0,30,0%,39.2
2026-05-09,0,49,0%,41.2
2026-05-10,0,34,0%,42
2026-05-11,1,44,2.27%,39
2026-05-12,0,49,0%,42.3
2026-05-13,0,62,0%,53.3
2026-05-14,0,48,0%,46.2
2026-05-15,0,38,0%,44.7
2026-05-16,0,23,0%,47.3
2026-05-17,1,42,2.38%,65.6
2026-05-18,0,18,0%,51.5
2026-05-19,0,21,0%,32.1
2026-05-20,0,9,0%,41.4
2026-05-21,0,15,0%,49.9
2026-05-22,0,14,0%,62.4
2026-05-23,0,26,0%,57
2026-05-24,0,29,0%,62
2026-05-25,0,21,0%,55.2
2026-05-26,0,40,0%,55.9
2026-05-27,0,27,0%,52.5
2026-05-28,0,37,0%,53
2026-05-29,0,44,0%,53.3
2026-05-30,0,48,0%,52.2
2026-05-31,0,33,0%,54.1
2026-06-01,0,60,0%,50.5
2026-06-02,0,39,0%,48.9
2026-06-03,0,34,0%,47
2026-06-04,0,24,0%,38.1
2026-06-05,1,43,2.33%,51.7
2026-06-06,0,26,0%,54.8
2026-06-07,0,40,0%,52.4
2026-06-08,0,20,0%,51
2026-06-09,0,25,0%,44.7
2026-06-10,1,24,4.17%,41.6
2026-06-11,1,23,4.35%,45
2026-06-12,1,34,2.94%,56.5
2026-06-13,1,41,2.44%,50.5
2026-06-14,0,65,0%,52
2026-06-15,0,53,0%,46.7
2026-06-16,0,71,0%,54.7
2026-06-17,0,67,0%,50.4
2026-06-18,0,70,0%,48.6
2026-06-19,1,68,1.47%,45.9
2026-06-20,2,66,3.03%,33.3
