Country,Clicks,Impressions,CTR,Position
Germany,2,30,6.67%,54.53
United States,1,449,0.22%,50.3
United Arab Emirates,1,142,0.7%,40.65
Australia,1,89,1.12%,47.56
Egypt,1,70,1.43%,45.27
India,1,49,2.04%,36.18
Indonesia,1,14,7.14%,19
Vietnam,1,14,7.14%,37.36
Algeria,1,11,9.09%,28.09
Switzerland,1,8,12.5%,58.38
United Kingdom,0,275,0%,54.25
Canada,0,94,0%,53.06
Netherlands,0,60,0%,52.4
Israel,0,52,0%,44.77
Saudi Arabia,0,44,0%,39.59
Sweden,0,41,0%,54.24
Philippines,0,37,0%,50.57
Qatar,0,25,0%,32.68
Pakistan,0,24,0%,34.67
Bahrain,0,22,0%,43.77
Spain,0,20,0%,53.4
New Zealand,0,19,0%,57.84
Morocco,0,18,0%,25.61
Lebanon,0,18,0%,31.39
Kuwait,0,15,0%,27.13
Tunisia,0,15,0%,27.73
Malaysia,0,13,0%,25.46
Singapore,0,13,0%,45.92
Oman,0,12,0%,27.25
Bangladesh,0,12,0%,47.5
Italy,0,12,0%,49.33
Iraq,0,11,0%,12
Belgium,0,11,0%,40.55
Jordan,0,10,0%,46.9
France,0,10,0%,49.4
Brazil,0,9,0%,36.22
Norway,0,9,0%,38
Sri Lanka,0,8,0%,28.12
Argentina,0,7,0%,35.86
Maldives,0,7,0%,40.14
Denmark,0,7,0%,51.71
Ireland,0,7,0%,55.29
Mexico,0,6,0%,28.83
Ukraine,0,6,0%,35.5
Russia,0,6,0%,41.33
Turkey,0,6,0%,43.83
Colombia,0,6,0%,50.67
Uganda,0,6,0%,54.5
Poland,0,5,0%,37.6
Kenya,0,5,0%,55
Austria,0,5,0%,63
Trinidad & Tobago,0,5,0%,65.6
Yemen,0,4,0%,9.25
Sudan,0,4,0%,10.75
South Korea,0,4,0%,51.75
Ethiopia,0,4,0%,52.75
Hong Kong,0,4,0%,74
Syria,0,3,0%,6.67
Somalia,0,3,0%,9.67
Iran,0,3,0%,14.33
Venezuela,0,3,0%,20.67
South Africa,0,3,0%,24.67
Finland,0,3,0%,26
Nigeria,0,3,0%,38.33
Taiwan,0,3,0%,51.67
Hungary,0,3,0%,57
Cyprus,0,3,0%,58.67
Malta,0,3,0%,63.33
Thailand,0,3,0%,65.33
Romania,0,3,0%,79.67
Gambia,0,2,0%,3
Uruguay,0,2,0%,8
China,0,2,0%,9
Comoros,0,2,0%,11
Libya,0,2,0%,27.5
Palestine,0,2,0%,29.5
Lithuania,0,2,0%,34.5
Peru,0,2,0%,34.5
Ecuador,0,2,0%,37
Latvia,0,2,0%,57.5
Albania,0,2,0%,58.5
Mauritius,0,2,0%,60.5
Georgia,0,2,0%,61
Bosnia & Herzegovina,0,2,0%,62.5
Greece,0,2,0%,64
Japan,0,2,0%,64
Nepal,0,2,0%,65.5
Kosovo,0,1,0%,1
Uzbekistan,0,1,0%,5
Chad,0,1,0%,6
Belarus,0,1,0%,7
Congo - Brazzaville,0,1,0%,10
Suriname,0,1,0%,11
Jamaica,0,1,0%,14
Panama,0,1,0%,43
Cape Verde,0,1,0%,51
Kazakhstan,0,1,0%,54
Tanzania,0,1,0%,54
Afghanistan,0,1,0%,55
Czechia,0,1,0%,55
Zambia,0,1,0%,56
Azerbaijan,0,1,0%,58
Portugal,0,1,0%,59
Belize,0,1,0%,61
Chile,0,1,0%,63
Macedonia,0,1,0%,65
Dominican Republic,0,1,0%,72
Brunei,0,1,0%,98
